"Time (s)","Recording (a.u.)"
8.020833333E-3,5.534057319E-2
8.041666667E-3,5.590842664E-2
8.062500000E-3,5.629425123E-2
8.083333333E-3,5.685000867E-2
8.104166667E-3,5.739706010E-2
8.125000000E-3,5.785183609E-2
8.145833333E-3,5.755541474E-2
8.166666667E-3,5.662348866E-2
8.187500000E-3,5.599794537E-2
8.208333333E-3,5.567035824E-2
8.229166667E-3,5.555631593E-2
8.250000000E-3,5.533489585E-2
8.270833333E-3,5.477508903E-2
8.291666667E-3,5.415573344E-2
8.312500000E-3,5.324749276E-2
8.333333333E-3,5.210658908E-2
8.354166667E-3,5.136771873E-2
8.375000000E-3,5.079443753E-2
8.395833333E-3,4.976787791E-2
8.416666667E-3,4.904130846E-2
8.437500000E-3,4.870939255E-2
8.458333333E-3,4.804248363E-2
8.479166667E-3,4.794605821E-2
8.500000000E-3,4.854828492E-2
8.520833333E-3,4.913780838E-2
8.541666667E-3,4.989947379E-2
8.562500000E-3,5.036856979E-2
8.583333333E-3,5.038962141E-2
8.604166667E-3,5.051630735E-2
8.625000000E-3,5.037712678E-2
8.645833333E-3,4.934080690E-2
8.666666667E-3,4.818397388E-2
8.687500000E-3,4.749351367E-2
8.708333333E-3,4.667568952E-2
8.729166667E-3,4.590474814E-2
8.750000000E-3,4.514584690E-2
8.770833333E-3,4.433877021E-2
8.791666667E-3,4.368405417E-2
8.812500000E-3,4.305588827E-2
8.833333333E-3,4.238614067E-2
8.854166667E-3,4.140928760E-2
8.875000000E-3,4.104567319E-2
8.895833333E-3,4.148428142E-2
8.916666667E-3,4.175290838E-2
8.937500000E-3,4.221047089E-2
8.958333333E-3,4.286512733E-2
8.979166667E-3,4.339352250E-2
9.000000000E-3,4.415227473E-2
9.020833333E-3,4.512609914E-2
9.041666667E-3,4.616434127E-2
9.062500000E-3,4.723639041E-2
9.083333333E-3,4.768566787E-2
9.104166667E-3,4.755481705E-2
9.125000000E-3,4.741254821E-2
9.145833333E-3,4.675165564E-2
9.166666667E-3,4.566720873E-2
9.187500000E-3,4.492778704E-2
9.208333333E-3,4.442107677E-2
9.229166667E-3,4.336228967E-2
9.250000000E-3,4.175846279E-2
9.270833333E-3,4.048215598E-2
9.291666667E-3,3.962737322E-2
9.312500000E-3,3.911208361E-2
9.333333333E-3,3.910825774E-2
9.354166667E-3,3.921400756E-2
9.375000000E-3,3.905816749E-2
9.395833333E-3,3.876345232E-2
9.416666667E-3,3.861654922E-2
9.437500000E-3,3.903439641E-2
9.458333333E-3,3.972189873E-2
9.479166667E-3,4.037882015E-2
9.500000000E-3,4.107980803E-2
9.520833333E-3,4.083571211E-2
9.541666667E-3,4.034418240E-2
9.562500000E-3,4.083108157E-2
9.583333333E-3,4.097826779E-2
9.604166667E-3,4.062171653E-2
9.625000000E-3,3.998995945E-2
9.645833333E-3,3.859970346E-2
9.666666667E-3,3.689463809E-2
9.687500000E-3,3.548580408E-2
9.708333333E-3,3.462988138E-2
9.729166667E-3,3.354477882E-2
9.750000000E-3,3.242391348E-2
9.770833333E-3,3.227802366E-2
9.791666667E-3,3.212683275E-2
9.812500000E-3,3.146726638E-2
9.833333333E-3,3.192225844E-2
9.854166667E-3,3.264426440E-2
9.875000000E-3,3.263927996E-2
