"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.140625000E3,4.535415449E-2
9.164062500E3,3.257716058E-2
9.187500000E3,4.759459035E-2
9.210937500E3,3.205971631E-2
9.234375000E3,3.562860811E-2
9.257812500E3,3.708341858E-2
9.281250000E3,1.966470133E-2
9.304687500E3,4.512457629E-2
9.328125000E3,3.831196173E-2
9.351562500E3,2.335368267E-2
9.375000000E3,3.313411147E-2
9.398437500E3,2.751971920E-2
9.421875000E3,4.665184718E-2
9.445312500E3,1.850635631E-2
9.468750000E3,5.319684818E-2
9.492187500E3,5.329020143E-2
9.515625000E3,3.033544063E-2
9.539062500E3,5.053970452E-2
9.562500000E3,2.103526721E-2
9.585937500E3,5.171535013E-2
9.609375000E3,1.693875028E-2
9.632812500E3,5.158072105E-2
9.656250000E3,2.819856591E-2
9.679687500E3,2.188476539E-2
9.703125000E3,4.210985053E-2
9.726562500E3,4.545575901E-2
9.750000000E3,2.856933861E-2
9.773437500E3,3.662117869E-2
9.796875000E3,3.859820879E-2
9.820312500E3,4.328929560E-2
9.843750000E3,2.457829677E-2
9.867187500E3,3.045237727E-2
9.890625000E3,3.996915400E-2
9.914062500E3,4.070786669E-2
9.937500000E3,3.970046781E-2
9.960937500E3,3.500441623E-2
9.984375000E3,4.074984614E-2
1.000781250E4,2.612020067E-2
1.003125000E4,3.074602166E-2
1.005468750E4,4.065159895E-2
1.007812500E4,4.239694534E-2
1.010156250E4,2.624874010E-2
1.012500000E4,3.910905904E-2
1.014843750E4,4.504403553E-2
1.017187500E4,3.542368995E-2
1.019531250E4,2.066839510E-2
1.021875000E4,3.767684487E-2
1.024218750E4,2.384781280E-2
1.026562500E4,4.356375042E-2
1.028906250E4,3.712907772E-2
1.031250000E4,4.520228833E-2
1.033593750E4,3.448871043E-2
1.035937500E4,2.291321374E-2
1.038281250E4,3.410453265E-2
1.040625000E4,3.528295660E-2
1.042968750E4,3.309054219E-2
1.045312500E4,2.966936067E-2
1.047656250E4,3.018502729E-2
1.050000000E4,2.642354995E-2
1.052343750E4,3.520953099E-2
1.054687500E4,3.283048119E-2
1.057031250E4,2.866489170E-2
1.059375000E4,4.127372792E-2
1.061718750E4,3.187760847E-2
1.064062500E4,3.377743885E-2
