"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.620121333E0,-4.375980363E-2,-4.043232679E-2,-1.584595442E-2,6.165052908E-2
1.630049333E0,-7.410584788E-2,-2.322002426E-3,1.558750749E-2,7.576304359E-2
1.639977333E0,-7.886829539E-2,-2.232682552E-2,4.597080946E-2,9.397877674E-2
1.649906333E0,-4.260066622E-2,-3.644321010E-2,-8.221769929E-3,5.666146685E-2
1.659834333E0,-6.320389702E-2,-1.556598242E-2,4.572522640E-4,6.509409717E-2
1.669762333E0,-8.766759664E-2,-8.088855408E-3,3.293327272E-2,9.399807197E-2
1.679690333E0,-4.861991792E-2,-4.291443329E-2,1.302174926E-2,6.614462153E-2
1.689619333E0,-4.469537641E-2,-3.622598603E-2,-6.293358207E-3,5.787577295E-2
1.699547333E0,-8.192422388E-2,-3.288437538E-3,1.331527948E-2,8.306436629E-2
1.709475333E0,-6.482329253E-2,-2.807438269E-2,2.873614132E-2,7.626267787E-2
1.719403333E0,-3.975780479E-2,-3.887535945E-2,-1.034080088E-2,5.655889653E-2
1.729332333E0,-7.273294905E-2,-1.070102591E-2,-4.811089039E-3,7.367320009E-2
1.739260333E0,-7.476702179E-2,-8.815554678E-3,3.470322490E-2,8.289834359E-2
1.749188333E0,-4.332499919E-2,-4.162446443E-2,5.961236358E-3,6.037539179E-2
1.759116333E0,-5.046808574E-2,-3.468857031E-2,-1.529807031E-2,6.312175175E-2
1.769045333E0,-9.041374147E-2,-1.337627325E-2,1.000107765E-2,9.194341133E-2
1.778969333E0,-5.799717989E-2,-3.621648431E-2,1.508640110E-2,7.002075484E-2
1.788897333E0,-4.148153655E-2,-4.488933038E-2,-4.374302030E-3,6.127727454E-2
1.798825333E0,-6.766619051E-2,-1.347629718E-2,3.852730393E-3,6.910258646E-2
1.808754333E0,-6.863989810E-2,-1.826534953E-2,4.441077232E-2,8.376977559E-2
1.818682333E0,-4.059852476E-2,-5.563241970E-2,-1.457593918E-2,7.039647958E-2
1.828610333E0,-4.939403445E-2,-2.297568373E-2,-3.806537390E-3,5.460899568E-2
1.838538333E0,-8.316714093E-2,-7.713391073E-3,1.565416574E-2,8.497836570E-2
1.848467333E0,-3.997248896E-2,-3.208327029E-2,2.118972480E-2,5.546296551E-2
1.858395333E0,-4.379958297E-2,-3.629713934E-2,1.056182563E-2,5.785704757E-2
1.868323333E0,-7.477663315E-2,2.742015235E-3,-1.278961480E-2,7.591203962E-2
1.878251333E0,-6.723687697E-2,-1.986160286E-2,4.513933539E-2,8.338369441E-2
1.888180333E0,-3.981945637E-2,-5.410329971E-2,-9.350282550E-3,6.782465576E-2
1.898108333E0,-5.802375731E-2,-2.445203260E-2,-6.513798237E-3,6.330156300E-2
1.908036333E0,-7.768376827E-2,-1.215555735E-2,4.392428398E-2,9.006591004E-2
1.917964333E0,-4.853356185E-2,-3.077806212E-2,1.008761644E-2,5.834857102E-2
1.927893333E0,-4.501973242E-2,-3.478691317E-2,-4.733321071E-3,5.709036665E-2
1.937821333E0,-7.670662545E-2,1.462023184E-3,2.250300944E-2,7.995266933E-2
1.947749333E0,-7.227330308E-2,-3.548057567E-2,3.717659712E-2,8.868145783E-2
1.957677333E0,-3.720412471E-2,-4.415828224E-2,-1.387368858E-2,5.938501512E-2
1.967606333E0,-6.241635930E-2,-1.153301161E-2,3.339929581E-3,6.356073784E-2
1.977534333E0,-8.019503776E-2,-1.298502143E-2,3.192872107E-2,8.728859085E-2
1.987462333E0,-4.599177721E-2,-3.284282360E-2,-5.347278714E-3,5.676696242E-2
1.997390333E0,-4.905223729E-2,-2.835709557E-2,3.179131150E-3,5.674816056E-2
2.007319333E0,-8.221513200E-2,9.296707436E-4,3.146562159E-2,8.803566072E-2
2.017247333E0,-5.312068426E-2,-2.971204162E-2,1.724226952E-2,6.326063840E-2
2.027175333E0,-3.991831999E-2,-4.050150666E-2,-1.554599226E-2,5.895355959E-2
2.037103333E0,-6.351532521E-2,-1.378700361E-2,1.274049819E-2,6.623139964E-2
2.047032333E0,-7.340931659E-2,-1.179639213E-2,3.818641126E-2,8.358399748E-2
2.056960333E0,-4.226423205E-2,-4.996193614E-2,-1.780418694E-2,6.781924097E-2
2.066888333E0,-5.540578527E-2,-1.619930897E-2,-1.766443849E-2,6.036763239E-2
2.076816333E0,-7.747159657E-2,-1.866540872E-3,2.499333858E-2,8.142480718E-2
2.086745333E0,-5.043072752E-2,-3.560102832E-2,2.079737663E-2,6.514002126E-2
2.096673333E0,-4.146697333E-2,-4.579371192E-2,-2.097162366E-2,6.524096050E-2
2.106601333E0,-6.508799781E-2,4.603220522E-4,-1.959986687E-3,6.511912855E-2
2.116529333E0,-6.517206981E-2,-2.063402005E-2,4.323957503E-2,8.088771424E-2
2.126458333E0,-4.119696901E-2,-4.061603900E-2,-1.903561056E-2,6.090326222E-2
2.136386333E0,-5.372928805E-2,-1.390252266E-2,-6.471113563E-3,5.587478717E-2
2.146314333E0,-7.222292567E-2,-5.631636120E-3,2.152009249E-2,7.557103081E-2
2.156242333E0,-4.381465782E-2,-2.492934812E-2,2.651127577E-3,5.047994766E-2
2.166171333E0,-4.925778519E-2,-3.615168985E-2,-1.412044108E-2,6.271093156E-2
2.176099333E0,-7.890674083E-2,3.662330434E-3,1.985246658E-2,8.144818502E-2
2.186027333E0,-6.008749553E-2,-2.883572672E-2,3.122705519E-2,7.360119041E-2
2.195955333E0,-4.071461940E-2,-3.925239522E-2,-2.132187188E-2,6.044049126E-2
2.205884333E0,-5.130082975E-2,-2.777343381E-2,-6.359431744E-3,5.868203414E-2
2.215812333E0,-6.814546119E-2,-1.277631238E-2,4.438329041E-2,8.232201715E-2
2.225740333E0,-3.142638129E-2,-2.829412837E-2,1.204760313E-2,4.396953357E-2
2.235668333E0,-4.228821477E-2,-3.333654787E-2,-5.625021458E-3,5.414110637E-2
2.245597333E0,-6.402334775E-2,-1.013958357E-2,2.970210135E-2,7.130227932E-2
2.255525333E0,-4.988104356E-2,-3.627813589E-2,1.846726120E-2,6.438370436E-2
2.265453333E0,-3.232973957E-2,-4.609593987E-2,-1.940632403E-2,5.955378364E-2
2.275381333E0,-6.803932509E-2,-1.352687560E-2,7.529459596E-3,6.977835542E-2
2.285310333E0,-6.583592978E-2,-1.191260554E-2,4.764135897E-2,8.213390838E-2
2.295238333E0,-3.886696321E-2,-3.713405862E-2,-1.344157934E-2,5.540988354E-2
2.305166333E0,-5.518989511E-2,-1.797430437E-2,-2.525997162E-3,5.809802752E-2
2.315094333E0,-7.989574254E-2,7.871923707E-3,3.788527966E-2,8.877269442E-2
2.325023333E0,-4.203693068E-2,-2.763693787E-2,9.439160228E-3,5.118595141E-2
2.334951333E0,-3.494429464E-2,-3.482579716E-2,-2.214691401E-2,5.407795924E-2
2.344879333E0,-6.627127326E-2,-1.326166783E-2,1.377194703E-2,6.897405322E-2
2.354807333E0,-6.609072221E-2,-1.658851426E-2,5.073921382E-2,8.495663709E-2
2.364736333E0,-3.585709982E-2,-4.595176946E-2,-1.931978524E-2,6.140481110E-2
2.374664333E0,-5.297613013E-2,-8.524107523E-3,-6.297451258E-3,5.402581480E-2
2.384592333E0,-7.405063737E-2,5.637264065E-3,3.247251213E-2,8.105393072E-2
2.394520333E0,-3.748432511E-2,-2.914760258E-2,7.620676160E-3,4.809087305E-2
2.404449333E0,-4.183796089E-2,-3.736400038E-2,-1.154123425E-2,5.726852176E-2
2.414377333E0,-6.890573627E-2,4.490223080E-3,1.734401107E-2,7.119675073E-2
2.424305333E0,-5.044162709E-2,-2.436490908E-2,3.305840313E-2,6.504509633E-2
2.434233333E0,-3.629188598E-2,-4.254602216E-2,-1.888709128E-2,5.902530988E-2
2.444162333E0,-5.660766218E-2,-7.201101892E-3,-5.118067861E-3,5.729291321E-2
2.454090333E0,-6.600518840E-2,-4.936913811E-3,5.085908175E-2,8.347277526E-2
2.464018333E0,-3.220713076E-2,-3.908717483E-2,-1.533139944E-3,5.067008019E-2
2.473947333E0,-5.260252959E-2,-3.050247554E-2,-1.066181302E-2,6.173411853E-2
