"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.007812500E4,3.993539572E-4
1.010156250E4,6.154032497E-3
1.012500000E4,2.475491085E-2
1.014843750E4,1.826257717E-2
1.017187500E4,1.352759227E-2
1.019531250E4,4.106735363E-2
1.021875000E4,3.224205216E-2
1.024218750E4,2.627239221E-2
1.026562500E4,1.810111081E-2
1.028906250E4,1.741699225E-2
1.031250000E4,7.872177325E-3
1.033593750E4,5.665366465E-3
1.035937500E4,2.038367453E-2
1.038281250E4,2.519279020E-2
1.040625000E4,3.135859702E-2
1.042968750E4,5.431156514E-3
1.045312500E4,5.022320375E-3
1.047656250E4,8.832358006E-3
1.050000000E4,1.356114052E-2
1.052343750E4,1.496754691E-2
1.054687500E4,3.294335084E-2
1.057031250E4,3.012575284E-2
1.059375000E4,2.484179388E-2
1.061718750E4,1.529333799E-2
1.064062500E4,3.043291098E-2
1.066406250E4,1.880304323E-2
1.068750000E4,1.500002610E-2
1.071093750E4,1.471321558E-2
1.073437500E4,3.861929252E-2
1.075781250E4,8.856440502E-3
1.078125000E4,4.786944987E-2
1.080468750E4,1.510233499E-2
1.082812500E4,1.845963857E-3
1.085156250E4,4.840318244E-3
1.087500000E4,3.961960631E-2
1.089843750E4,2.150534060E-2
1.092187500E4,2.130716308E-2
1.094531250E4,1.106140774E-2
1.096875000E4,3.665438355E-3
1.099218750E4,1.766029461E-2
1.101562500E4,2.051792557E-2
1.103906250E4,5.112864514E-3
1.106250000E4,1.698817249E-2
1.108593750E4,1.967077199E-2
1.110937500E4,5.527311303E-3
1.113281250E4,2.811838031E-2
1.115625000E4,9.344843898E-3
1.117968750E4,4.202280341E-3
1.120312500E4,2.833566644E-2
1.122656250E4,2.602941986E-2
1.125000000E4,6.144477298E-3
1.127343750E4,4.128107938E-3
1.129687500E4,2.502540702E-2
1.132031250E4,1.436352829E-2
1.134375000E4,2.960209894E-2
1.136718750E4,1.408451764E-2
1.139062500E4,2.483504485E-2
1.141406250E4,2.460187208E-2
1.143750000E4,1.576713310E-2
1.146093750E4,1.059877968E-2
1.148437500E4,2.035185683E-2
1.150781250E4,2.907315707E-2
1.153125000E4,1.543786286E-2
1.155468750E4,1.016987844E-2
1.157812500E4,2.324103340E-2
1.160156250E4,1.794299167E-2
1.162500000E4,2.113336242E-2
1.164843750E4,1.201522799E-2
1.167187500E4,1.192250032E-2
1.169531250E4,2.751208450E-3
1.171875000E4,1.503057609E-2
1.174218750E4,1.555926927E-2
1.176562500E4,1.421688379E-2
1.178906250E4,3.548182820E-2
1.181250000E4,1.603137269E-2
1.183593750E4,2.160499740E-2
1.185937500E4,3.253668076E-3
1.188281250E4,1.207588386E-2
1.190625000E4,4.238064566E-2
1.192968750E4,2.523819102E-2
1.195312500E4,1.246740132E-2
1.197656250E4,3.096001196E-2
1.200000000E4,1.789235199E-2
1.202343750E4,1.081262675E-2
1.204687500E4,4.872546063E-3
1.207031250E4,3.671004090E-3
1.209375000E4,1.690722628E-2
1.211718750E4,2.187378149E-2
1.214062500E4,2.117823471E-2
1.216406250E4,1.004108114E-2
1.218750000E4,7.807116841E-3
1.221093750E4,3.032912597E-2
1.223437500E4,1.925026424E-2
1.225781250E4,1.444437372E-2
1.228125000E4,1.391648192E-2
1.230468750E4,1.123928825E-2
1.232812500E4,1.061791732E-2
1.235156250E4,1.454506710E-2
1.237500000E4,1.875905642E-2
1.239843750E4,2.423864841E-2
1.242187500E4,9.876974652E-3
1.244531250E4,9.229235230E-3
1.246875000E4,9.810116880E-3
1.249218750E4,2.591111170E-2
1.251562500E4,8.693227102E-3
1.253906250E4,4.534400874E-3
1.256250000E4,2.224265052E-2
1.258593750E4,1.571710835E-2
1.260937500E4,2.109066178E-2
1.263281250E4,1.635236624E-2
1.265625000E4,4.899987764E-3
1.267968750E4,1.377869689E-2
1.270312500E4,2.808744949E-2
1.272656250E4,1.310734766E-2
1.275000000E4,1.649992165E-2
1.277343750E4,6.269821528E-3
1.279687500E4,1.224868796E-2
1.282031250E4,8.704078015E-3
1.284375000E4,2.812866381E-2
1.286718750E4,3.435864288E-3
1.289062500E4,1.214044009E-2
1.291406250E4,7.472839451E-3
1.293750000E4,3.966533894E-2
