"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.211361375E0,4.612996336E-3,-2.604368124E-3,1.719128180E-1,1.719944169E-1
2.221289375E0,-4.923309898E-3,5.943959663E-3,-1.653288531E-1,1.655089101E-1
2.231218375E0,5.166195014E-2,-4.755431768E-2,-8.658030689E-2,1.114743009E-1
2.241146375E0,-9.514107828E-2,-6.786429235E-2,1.282311934E-1,1.734953196E-1
2.251075375E0,-1.234697144E-2,-2.138376100E-2,-2.549269080E-2,3.549070614E-2
2.261003375E0,-7.911576052E-2,1.770975441E-3,2.436476290E-2,8.280145885E-2
2.270931375E0,-1.779616164E-1,-2.872489457E-2,1.548933274E-1,2.376707793E-1
2.280860375E0,1.279451275E-1,-3.202312619E-2,2.302107275E-2,1.338857948E-1
2.290788375E0,-8.454581388E-2,2.843353878E-2,-5.870955348E-2,1.067861060E-1
2.300717375E0,6.625481883E-2,-1.475714896E-1,-1.757678872E-1,2.388752724E-1
2.310645375E0,2.845943098E-2,-8.530410639E-2,1.539987034E-1,1.783320790E-1
2.320574375E0,-6.268297406E-2,-4.700811465E-2,6.509997547E-2,1.018671924E-1
2.330502375E0,8.276403023E-2,-1.222873525E-1,-3.407067311E-1,3.713289080E-1
2.340431375E0,-7.588332835E-2,-4.060143923E-2,2.287155944E-1,2.443718059E-1
2.350359375E0,-9.287057703E-2,-3.384152804E-2,2.341254383E-1,2.541356212E-1
2.360287375E0,-1.247761102E-2,-5.467848301E-2,-3.059590673E-1,3.110568729E-1
2.370216375E0,-3.348535951E-4,6.254756534E-2,2.139145374E-1,2.228715760E-1
2.380144375E0,-1.225360511E-1,6.047075311E-2,1.175237721E-1,1.802321636E-1
2.390073375E0,-1.779735301E-2,-1.920599294E-2,-1.390345091E-1,1.414786579E-1
2.400001375E0,1.294332348E-2,-5.613902612E-2,-1.821349204E-1,1.910294456E-1
2.409930375E0,-1.340070182E-1,-1.060026194E-1,2.167861050E-1,2.760265415E-1
2.419858375E0,1.446052976E-2,-1.216128123E-1,-1.581747848E-1,2.000451088E-1
2.429787375E0,5.421715597E-2,-1.786464167E-2,7.955136895E-2,9.791356252E-2
2.439715375E0,-7.034627094E-2,-8.537028043E-2,6.218513846E-2,1.269002524E-1
2.449644375E0,8.598597396E-2,-5.222028614E-2,-6.970465779E-3,1.008421211E-1
2.459572375E0,1.561413059E-2,7.721849436E-2,-7.013501287E-2,1.054770922E-1
2.469500375E0,-1.568561646E-1,2.543280252E-2,1.943608636E-1,2.510514471E-1
2.479429375E0,-6.042764816E-2,1.849964929E-2,5.913873911E-3,6.347213240E-2
2.489357375E0,-3.146945883E-2,-1.136916166E-2,-1.936597824E-2,3.866039044E-2
2.499286375E0,1.902172342E-5,-8.719683182E-2,5.413820028E-2,1.026364096E-1
2.509214375E0,-2.287943308E-2,-7.355680346E-2,1.830184346E-1,1.985694317E-1
2.519143375E0,3.092009464E-2,-6.034543083E-2,-7.113196313E-2,9.827196678E-2
2.529071375E0,-9.071956912E-2,-7.826443333E-2,2.211416960E-3,1.198342694E-1
2.539000375E0,-4.044140825E-2,2.704343635E-2,3.274206877E-2,5.864211812E-2
2.548928375E0,-3.355774621E-2,5.953689795E-3,-2.159259796E-2,4.034611555E-2
2.558856375E0,7.452369539E-2,-5.268597119E-2,-1.480743045E-1,1.739413475E-1
2.568785375E0,-8.355889524E-2,-1.277251169E-2,2.104383677E-1,2.267808031E-1
